iter	MultiClass
0	1.378756555
1	1.220043916
2	1.10993107
3	1.015621458
4	0.9282902647
5	0.8498791048
6	0.8027151231
7	0.7607942932
8	0.733059359
9	0.7089065874
10	0.6801716456
11	0.6642260919
12	0.6404727381
13	0.6249696954
14	0.6083507169
15	0.5888541495
16	0.5777290822
17	0.5675212299
18	0.5555528359
19	0.544643493
20	0.5306885707
21	0.5190111017
22	0.5054763881
23	0.4916854986
24	0.4800859434
25	0.4735489078
26	0.4663470385
27	0.459948304
28	0.4529807732
29	0.4458856914
30	0.4386553586
31	0.4293240017
32	0.4233858254
33	0.4159394566
34	0.4085391164
35	0.4034468367
36	0.397930224
37	0.3827194224
38	0.3774018841
39	0.3712431649
40	0.3660864435
41	0.360053035
42	0.3545673425
43	0.3494567404
44	0.3420562836
45	0.3376314902
46	0.3337549844
47	0.3300187179
48	0.3264581451
49	0.3230920897
50	0.318951715
51	0.3147907709
52	0.3116568893
53	0.3049400192
54	0.3017911095
55	0.2986131936
56	0.2954931692
57	0.2904628351
58	0.2877646238
59	0.2848341031
60	0.2820445797
61	0.2777884143
62	0.2750526921
63	0.2709363533
64	0.268460495
65	0.2662343126
66	0.2636716632
67	0.2619633755
68	0.2597767707
69	0.257774324
70	0.2544434485
71	0.2516606376
72	0.2499120175
73	0.2478890447
74	0.2462144227
75	0.2447063548
76	0.2416591216
77	0.2399724524
78	0.2383015537
79	0.2369983797
80	0.2350719698
81	0.2332470645
82	0.2318734262
83	0.2268666726
84	0.223438151
85	0.221562049
86	0.219419034
87	0.2176492708
88	0.2161230535
89	0.214891788
90	0.2129253673
91	0.2111409042
92	0.2090498423
93	0.2073990388
94	0.206132479
95	0.2050097967
96	0.2037493796
97	0.2026685575
98	0.2017829149
99	0.2005906794
