iter	Passed	Remaining
0	5791	573346
1	10252	502355
2	14589	471737
3	19347	464351
4	23389	444396
5	27323	428067
6	31281	415599
7	35395	407052
8	39248	396846
9	43239	389155
10	47277	382518
11	51110	374811
12	55222	369564
13	59248	363957
14	63084	357476
15	67078	352160
16	70911	346216
17	74670	340163
18	78506	334687
19	82294	329177
20	85989	323484
21	89847	318551
22	93900	314361
23	97975	310256
24	102628	307884
25	111019	315979
26	117268	317058
27	125003	321436
28	132653	324772
29	140096	326892
30	148788	331173
31	157481	334647
32	165411	335835
33	172849	335532
34	179468	333299
35	187678	333651
36	193697	329809
37	199617	325690
38	205630	321627
39	211273	316910
40	216437	311458
41	221274	305569
42	226005	299589
43	231152	294194
44	236180	288664
45	241054	282977
46	245608	276963
47	249872	270695
48	254523	264912
49	259892	259892
50	265651	255233
51	270626	249809
52	275582	244384
53	280993	239365
54	285450	233550
55	290235	228042
56	295325	222789
57	300363	217504
58	304770	211789
59	308742	205828
60	312967	200094
61	316802	194169
62	320732	188366
63	325058	182845
64	329123	177220
65	333049	171571
66	337259	166112
67	342262	161064
68	346350	155606
69	350519	150222
70	354588	144831
71	358816	139539
72	362778	134178
73	366660	128826
74	370683	123561
75	374972	118412
76	379102	113238
77	382976	108018
78	387074	102893
79	390974	97743
80	395275	92718
81	400829	87987
82	405597	83074
83	410369	78165
84	414897	73217
85	420833	68507
86	427014	63806
87	433154	59066
88	439108	54271
89	445953	49550
90	451719	44675
91	457800	39808
92	464524	34964
93	470607	30038
94	477290	25120
95	483401	20141
96	490328	15164
97	497619	10155
98	503859	5089
99	509563	0
